Emotions,Path
Fear,EmoDSc_Aumentado\0.wav
Fear,EmoDSc_Aumentado\1.wav
Fear,EmoDSc_Aumentado\2.wav
Fear,EmoDSc_Aumentado\3.wav
Surprise,EmoDSc_Aumentado\4.wav
Surprise,EmoDSc_Aumentado\5.wav
Surprise,EmoDSc_Aumentado\6.wav
Surprise,EmoDSc_Aumentado\7.wav
Surprise,EmoDSc_Aumentado\8.wav
Surprise,EmoDSc_Aumentado\9.wav
Surprise,EmoDSc_Aumentado\10.wav
Surprise,EmoDSc_Aumentado\11.wav
Happiness,EmoDSc_Aumentado\12.wav
Happiness,EmoDSc_Aumentado\13.wav
Happiness,EmoDSc_Aumentado\14.wav
Happiness,EmoDSc_Aumentado\15.wav
Anger,EmoDSc_Aumentado\16.wav
Anger,EmoDSc_Aumentado\17.wav
Anger,EmoDSc_Aumentado\18.wav
Anger,EmoDSc_Aumentado\19.wav
Disgust,EmoDSc_Aumentado\20.wav
Disgust,EmoDSc_Aumentado\21.wav
Disgust,EmoDSc_Aumentado\22.wav
Disgust,EmoDSc_Aumentado\23.wav
Surprise,EmoDSc_Aumentado\24.wav
Surprise,EmoDSc_Aumentado\25.wav
Surprise,EmoDSc_Aumentado\26.wav
Surprise,EmoDSc_Aumentado\27.wav
Surprise,EmoDSc_Aumentado\28.wav
Surprise,EmoDSc_Aumentado\29.wav
Surprise,EmoDSc_Aumentado\30.wav
Surprise,EmoDSc_Aumentado\31.wav
Fear,EmoDSc_Aumentado\32.wav
Fear,EmoDSc_Aumentado\33.wav
Fear,EmoDSc_Aumentado\34.wav
Fear,EmoDSc_Aumentado\35.wav
Happiness,EmoDSc_Aumentado\36.wav
Happiness,EmoDSc_Aumentado\37.wav
Happiness,EmoDSc_Aumentado\38.wav
Happiness,EmoDSc_Aumentado\39.wav
Anger,EmoDSc_Aumentado\40.wav
Anger,EmoDSc_Aumentado\41.wav
Anger,EmoDSc_Aumentado\42.wav
Anger,EmoDSc_Aumentado\43.wav
Anger,EmoDSc_Aumentado\44.wav
Anger,EmoDSc_Aumentado\45.wav
Anger,EmoDSc_Aumentado\46.wav
Anger,EmoDSc_Aumentado\47.wav
