Emotions,Path
Fear,Datasets\RAVDESS\Actor_11\03-01-06-02-02-01-11.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001723.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001420.wav
Happiness,Datasets\RAVDESS\Actor_20\03-01-03-02-02-01-20.wav
Anger,Datasets\ESD\0016\Angry\0016_000584.wav
Disgust,Datasets\CREMA-D\1085_IOM_DIS_XX.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001512.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-02-13-69-02-02-02.wav
Fear,Datasets\CREMA-D\1075_IEO_FEA_MD.wav
Happiness,Datasets\ESD\0014\Happy\0014_000810.wav
Anger,Datasets\ESD\0013\Angry\0013_000624.wav
Anger,Datasets\ESD\0019\Angry\0019_000683.wav
Fear,Datasets\CREMA-D\1034_IWL_FEA_XX.wav
Disgust,Datasets\CREMA-D\1008_MTI_DIS_XX.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_road_disgust.wav
Happiness,Datasets\CREMA-D\1012_IEO_HAP_MD.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001530.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000092.wav
Neutral,Datasets\CREMA-D\1057_ITS_NEU_XX.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000054.wav
Fear,Datasets\TESS\OAF_Fear\OAF_voice_fear.wav
Sadness,Datasets\ESD\0014\Sad\0014_001377.wav
Fear,Datasets\CREMA-D\1068_TAI_FEA_XX.wav
Fear,Datasets\CREMA-D\1024_WSI_FEA_XX.wav
Sadness,Datasets\CREMA-D\1027_MTI_SAD_XX.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000263.wav
Anger,Datasets\ESD\0017\Angry\0017_000679.wav
Neutral,Datasets\RAVDESS\Actor_06\03-01-01-01-01-01-06.wav
Sadness,Datasets\CREMA-D\1054_IEO_SAD_MD.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001477.wav
Anger,Datasets\ESD\0019\Angry\0019_000526.wav
Anger,Datasets\ESD\0020\Angry\0020_000582.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-30-60-02-02-02.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001689.wav
