Emotions,Path
Fear,EmoDSc_Silenciados\0.wav
Surprise,EmoDSc_Silenciados\1.wav
Surprise,EmoDSc_Silenciados\2.wav
Happiness,EmoDSc_Silenciados\3.wav
Anger,EmoDSc_Silenciados\4.wav
Disgust,EmoDSc_Silenciados\5.wav
Surprise,EmoDSc_Silenciados\6.wav
Surprise,EmoDSc_Silenciados\7.wav
Fear,EmoDSc_Silenciados\8.wav
Happiness,EmoDSc_Silenciados\9.wav
Anger,EmoDSc_Silenciados\10.wav
Anger,EmoDSc_Silenciados\11.wav
Fear,EmoDSc_Silenciados\12.wav
Disgust,EmoDSc_Silenciados\13.wav
Disgust,EmoDSc_Silenciados\14.wav
Happiness,EmoDSc_Silenciados\15.wav
Surprise,EmoDSc_Silenciados\16.wav
Neutral,EmoDSc_Silenciados\17.wav
Neutral,EmoDSc_Silenciados\18.wav
Neutral,EmoDSc_Silenciados\19.wav
Fear,EmoDSc_Silenciados\20.wav
Sadness,EmoDSc_Silenciados\21.wav
Fear,EmoDSc_Silenciados\22.wav
Fear,EmoDSc_Silenciados\23.wav
Sadness,EmoDSc_Silenciados\24.wav
Neutral,EmoDSc_Silenciados\25.wav
Anger,EmoDSc_Silenciados\26.wav
Neutral,EmoDSc_Silenciados\27.wav
Sadness,EmoDSc_Silenciados\28.wav
Surprise,EmoDSc_Silenciados\29.wav
Anger,EmoDSc_Silenciados\30.wav
Anger,EmoDSc_Silenciados\31.wav
Surprise,EmoDSc_Silenciados\32.wav
Surprise,EmoDSc_Silenciados\33.wav
Fear,EmoDSc_Silenciados\34.wav
Disgust,EmoDSc_Silenciados\35.wav
Fear,EmoDSc_Silenciados\36.wav
Sadness,EmoDSc_Silenciados\37.wav
Disgust,EmoDSc_Silenciados\38.wav
Surprise,EmoDSc_Silenciados\39.wav
Anger,EmoDSc_Silenciados\40.wav
Surprise,EmoDSc_Silenciados\41.wav
Disgust,EmoDSc_Silenciados\42.wav
Anger,EmoDSc_Silenciados\43.wav
Fear,EmoDSc_Silenciados\44.wav
Sadness,EmoDSc_Silenciados\45.wav
Fear,EmoDSc_Silenciados\46.wav
Disgust,EmoDSc_Silenciados\47.wav
Fear,EmoDSc_Silenciados\48.wav
Happiness,EmoDSc_Silenciados\49.wav
Happiness,EmoDSc_Silenciados\50.wav
Surprise,EmoDSc_Silenciados\51.wav
Sadness,EmoDSc_Silenciados\52.wav
Fear,EmoDSc_Silenciados\53.wav
Fear,EmoDSc_Silenciados\54.wav
Neutral,EmoDSc_Silenciados\55.wav
Fear,EmoDSc_Silenciados\56.wav
Sadness,EmoDSc_Silenciados\57.wav
Happiness,EmoDSc_Silenciados\58.wav
Surprise,EmoDSc_Silenciados\59.wav
Anger,EmoDSc_Silenciados\60.wav
Neutral,EmoDSc_Silenciados\61.wav
Fear,EmoDSc_Silenciados\62.wav
Neutral,EmoDSc_Silenciados\63.wav
Sadness,EmoDSc_Silenciados\64.wav
Disgust,EmoDSc_Silenciados\65.wav
Fear,EmoDSc_Silenciados\66.wav
Surprise,EmoDSc_Silenciados\67.wav
Happiness,EmoDSc_Silenciados\68.wav
Neutral,EmoDSc_Silenciados\69.wav
Anger,EmoDSc_Silenciados\70.wav
Disgust,EmoDSc_Silenciados\71.wav
Anger,EmoDSc_Silenciados\72.wav
Fear,EmoDSc_Silenciados\73.wav
Neutral,EmoDSc_Silenciados\74.wav
Surprise,EmoDSc_Silenciados\75.wav
Neutral,EmoDSc_Silenciados\76.wav
Happiness,EmoDSc_Silenciados\77.wav
Sadness,EmoDSc_Silenciados\78.wav
Neutral,EmoDSc_Silenciados\79.wav
Disgust,EmoDSc_Silenciados\80.wav
Neutral,EmoDSc_Silenciados\81.wav
Anger,EmoDSc_Silenciados\82.wav
Happiness,EmoDSc_Silenciados\83.wav
Fear,EmoDSc_Silenciados\84.wav
Anger,EmoDSc_Silenciados\85.wav
Fear,EmoDSc_Silenciados\86.wav
Anger,EmoDSc_Silenciados\87.wav
Sadness,EmoDSc_Silenciados\88.wav
Anger,EmoDSc_Silenciados\89.wav
Surprise,EmoDSc_Silenciados\90.wav
Fear,EmoDSc_Silenciados\91.wav
Sadness,EmoDSc_Silenciados\92.wav
Happiness,EmoDSc_Silenciados\93.wav
Disgust,EmoDSc_Silenciados\94.wav
Disgust,EmoDSc_Silenciados\95.wav
Anger,EmoDSc_Silenciados\96.wav
Happiness,EmoDSc_Silenciados\97.wav
Anger,EmoDSc_Silenciados\98.wav
Disgust,EmoDSc_Silenciados\99.wav
Fear,EmoDSc_Silenciados\100.wav
Sadness,EmoDSc_Silenciados\101.wav
Fear,EmoDSc_Silenciados\102.wav
Neutral,EmoDSc_Silenciados\103.wav
Happiness,EmoDSc_Silenciados\104.wav
Fear,EmoDSc_Silenciados\105.wav
Sadness,EmoDSc_Silenciados\106.wav
Anger,EmoDSc_Silenciados\107.wav
Neutral,EmoDSc_Silenciados\108.wav
Disgust,EmoDSc_Silenciados\109.wav
Neutral,EmoDSc_Silenciados\110.wav
Fear,EmoDSc_Silenciados\111.wav
Happiness,EmoDSc_Silenciados\112.wav
Sadness,EmoDSc_Silenciados\113.wav
Fear,EmoDSc_Silenciados\114.wav
Neutral,EmoDSc_Silenciados\115.wav
Anger,EmoDSc_Silenciados\116.wav
Neutral,EmoDSc_Silenciados\117.wav
Sadness,EmoDSc_Silenciados\118.wav
Neutral,EmoDSc_Silenciados\119.wav
Surprise,EmoDSc_Silenciados\120.wav
Disgust,EmoDSc_Silenciados\121.wav
Neutral,EmoDSc_Silenciados\122.wav
Fear,EmoDSc_Silenciados\123.wav
Fear,EmoDSc_Silenciados\124.wav
Happiness,EmoDSc_Silenciados\125.wav
Fear,EmoDSc_Silenciados\126.wav
Anger,EmoDSc_Silenciados\127.wav
Sadness,EmoDSc_Silenciados\128.wav
Anger,EmoDSc_Silenciados\129.wav
Fear,EmoDSc_Silenciados\130.wav
Surprise,EmoDSc_Silenciados\131.wav
Disgust,EmoDSc_Silenciados\132.wav
Surprise,EmoDSc_Silenciados\133.wav
Fear,EmoDSc_Silenciados\134.wav
Sadness,EmoDSc_Silenciados\135.wav
Fear,EmoDSc_Silenciados\136.wav
Sadness,EmoDSc_Silenciados\137.wav
Disgust,EmoDSc_Silenciados\138.wav
Neutral,EmoDSc_Silenciados\139.wav
Fear,EmoDSc_Silenciados\140.wav
Sadness,EmoDSc_Silenciados\141.wav
Neutral,EmoDSc_Silenciados\142.wav
Disgust,EmoDSc_Silenciados\143.wav
Happiness,EmoDSc_Silenciados\144.wav
Fear,EmoDSc_Silenciados\145.wav
Surprise,EmoDSc_Silenciados\146.wav
Neutral,EmoDSc_Silenciados\147.wav
Fear,EmoDSc_Silenciados\148.wav
Surprise,EmoDSc_Silenciados\149.wav
Neutral,EmoDSc_Silenciados\150.wav
Surprise,EmoDSc_Silenciados\151.wav
Sadness,EmoDSc_Silenciados\152.wav
Anger,EmoDSc_Silenciados\153.wav
Anger,EmoDSc_Silenciados\154.wav
Anger,EmoDSc_Silenciados\155.wav
Neutral,EmoDSc_Silenciados\156.wav
Disgust,EmoDSc_Silenciados\157.wav
Surprise,EmoDSc_Silenciados\158.wav
Disgust,EmoDSc_Silenciados\159.wav
Sadness,EmoDSc_Silenciados\160.wav
Fear,EmoDSc_Silenciados\161.wav
Anger,EmoDSc_Silenciados\162.wav
Fear,EmoDSc_Silenciados\163.wav
Surprise,EmoDSc_Silenciados\164.wav
Anger,EmoDSc_Silenciados\165.wav
Anger,EmoDSc_Silenciados\166.wav
Anger,EmoDSc_Silenciados\167.wav
Anger,EmoDSc_Silenciados\168.wav
Disgust,EmoDSc_Silenciados\169.wav
Surprise,EmoDSc_Silenciados\170.wav
Surprise,EmoDSc_Silenciados\171.wav
Fear,EmoDSc_Silenciados\172.wav
Surprise,EmoDSc_Silenciados\173.wav
Anger,EmoDSc_Silenciados\174.wav
Anger,EmoDSc_Silenciados\175.wav
Sadness,EmoDSc_Silenciados\176.wav
Disgust,EmoDSc_Silenciados\177.wav
Surprise,EmoDSc_Silenciados\178.wav
Disgust,EmoDSc_Silenciados\179.wav
Neutral,EmoDSc_Silenciados\180.wav
Anger,EmoDSc_Silenciados\181.wav
Happiness,EmoDSc_Silenciados\182.wav
Anger,EmoDSc_Silenciados\183.wav
Sadness,EmoDSc_Silenciados\184.wav
Anger,EmoDSc_Silenciados\185.wav
Fear,EmoDSc_Silenciados\186.wav
Happiness,EmoDSc_Silenciados\187.wav
Happiness,EmoDSc_Silenciados\188.wav
Surprise,EmoDSc_Silenciados\189.wav
Neutral,EmoDSc_Silenciados\190.wav
Neutral,EmoDSc_Silenciados\191.wav
Happiness,EmoDSc_Silenciados\192.wav
Anger,EmoDSc_Silenciados\193.wav
Surprise,EmoDSc_Silenciados\194.wav
Anger,EmoDSc_Silenciados\195.wav
Surprise,EmoDSc_Silenciados\196.wav
Fear,EmoDSc_Silenciados\197.wav
Sadness,EmoDSc_Silenciados\198.wav
Anger,EmoDSc_Silenciados\199.wav
Fear,EmoDSc_Silenciados\200.wav
Happiness,EmoDSc_Silenciados\201.wav
Happiness,EmoDSc_Silenciados\202.wav
Surprise,EmoDSc_Silenciados\203.wav
Anger,EmoDSc_Silenciados\204.wav
Fear,EmoDSc_Silenciados\205.wav
Happiness,EmoDSc_Silenciados\206.wav
Surprise,EmoDSc_Silenciados\207.wav
Anger,EmoDSc_Silenciados\208.wav
Surprise,EmoDSc_Silenciados\209.wav
Anger,EmoDSc_Silenciados\210.wav
Neutral,EmoDSc_Silenciados\211.wav
Happiness,EmoDSc_Silenciados\212.wav
Surprise,EmoDSc_Silenciados\213.wav
Disgust,EmoDSc_Silenciados\214.wav
Neutral,EmoDSc_Silenciados\215.wav
Neutral,EmoDSc_Silenciados\216.wav
Surprise,EmoDSc_Silenciados\217.wav
Surprise,EmoDSc_Silenciados\218.wav
Disgust,EmoDSc_Silenciados\219.wav
Happiness,EmoDSc_Silenciados\220.wav
Happiness,EmoDSc_Silenciados\221.wav
Anger,EmoDSc_Silenciados\222.wav
Happiness,EmoDSc_Silenciados\223.wav
Neutral,EmoDSc_Silenciados\224.wav
Anger,EmoDSc_Silenciados\225.wav
Neutral,EmoDSc_Silenciados\226.wav
Sadness,EmoDSc_Silenciados\227.wav
Anger,EmoDSc_Silenciados\228.wav
Surprise,EmoDSc_Silenciados\229.wav
Anger,EmoDSc_Silenciados\230.wav
Anger,EmoDSc_Silenciados\231.wav
Happiness,EmoDSc_Silenciados\232.wav
Neutral,EmoDSc_Silenciados\233.wav
Sadness,EmoDSc_Silenciados\234.wav
Happiness,EmoDSc_Silenciados\235.wav
Neutral,EmoDSc_Silenciados\236.wav
Anger,EmoDSc_Silenciados\237.wav
Disgust,EmoDSc_Silenciados\238.wav
Surprise,EmoDSc_Silenciados\239.wav
Fear,EmoDSc_Silenciados\240.wav
Disgust,EmoDSc_Silenciados\241.wav
Anger,EmoDSc_Silenciados\242.wav
Sadness,EmoDSc_Silenciados\243.wav
Anger,EmoDSc_Silenciados\244.wav
Happiness,EmoDSc_Silenciados\245.wav
Fear,EmoDSc_Silenciados\246.wav
Surprise,EmoDSc_Silenciados\247.wav
Anger,EmoDSc_Silenciados\248.wav
Anger,EmoDSc_Silenciados\249.wav
Happiness,EmoDSc_Silenciados\250.wav
Fear,EmoDSc_Silenciados\251.wav
Surprise,EmoDSc_Silenciados\252.wav
Disgust,EmoDSc_Silenciados\253.wav
Anger,EmoDSc_Silenciados\254.wav
Happiness,EmoDSc_Silenciados\255.wav
Sadness,EmoDSc_Silenciados\256.wav
Fear,EmoDSc_Silenciados\257.wav
Happiness,EmoDSc_Silenciados\258.wav
Anger,EmoDSc_Silenciados\259.wav
Disgust,EmoDSc_Silenciados\260.wav
Sadness,EmoDSc_Silenciados\261.wav
Sadness,EmoDSc_Silenciados\262.wav
Fear,EmoDSc_Silenciados\263.wav
Surprise,EmoDSc_Silenciados\264.wav
Anger,EmoDSc_Silenciados\265.wav
Fear,EmoDSc_Silenciados\266.wav
Sadness,EmoDSc_Silenciados\267.wav
Happiness,EmoDSc_Silenciados\268.wav
Neutral,EmoDSc_Silenciados\269.wav
Happiness,EmoDSc_Silenciados\270.wav
Happiness,EmoDSc_Silenciados\271.wav
Sadness,EmoDSc_Silenciados\272.wav
Disgust,EmoDSc_Silenciados\273.wav
Anger,EmoDSc_Silenciados\274.wav
Surprise,EmoDSc_Silenciados\275.wav
Anger,EmoDSc_Silenciados\276.wav
Surprise,EmoDSc_Silenciados\277.wav
Happiness,EmoDSc_Silenciados\278.wav
Happiness,EmoDSc_Silenciados\279.wav
Anger,EmoDSc_Silenciados\280.wav
Disgust,EmoDSc_Silenciados\281.wav
Fear,EmoDSc_Silenciados\282.wav
Happiness,EmoDSc_Silenciados\283.wav
Disgust,EmoDSc_Silenciados\284.wav
Disgust,EmoDSc_Silenciados\285.wav
Sadness,EmoDSc_Silenciados\286.wav
Neutral,EmoDSc_Silenciados\287.wav
Surprise,EmoDSc_Silenciados\288.wav
Surprise,EmoDSc_Silenciados\289.wav
Disgust,EmoDSc_Silenciados\290.wav
Neutral,EmoDSc_Silenciados\291.wav
Fear,EmoDSc_Silenciados\292.wav
Neutral,EmoDSc_Silenciados\293.wav
Happiness,EmoDSc_Silenciados\294.wav
Neutral,EmoDSc_Silenciados\295.wav
Sadness,EmoDSc_Silenciados\296.wav
Happiness,EmoDSc_Silenciados\297.wav
Disgust,EmoDSc_Silenciados\298.wav
Neutral,EmoDSc_Silenciados\299.wav
Sadness,EmoDSc_Silenciados\300.wav
Neutral,EmoDSc_Silenciados\301.wav
Fear,EmoDSc_Silenciados\302.wav
Neutral,EmoDSc_Silenciados\303.wav
Fear,EmoDSc_Silenciados\304.wav
Fear,EmoDSc_Silenciados\305.wav
Surprise,EmoDSc_Silenciados\306.wav
Neutral,EmoDSc_Silenciados\307.wav
Neutral,EmoDSc_Silenciados\308.wav
Neutral,EmoDSc_Silenciados\309.wav
Anger,EmoDSc_Silenciados\310.wav
Fear,EmoDSc_Silenciados\311.wav
Happiness,EmoDSc_Silenciados\312.wav
Surprise,EmoDSc_Silenciados\313.wav
Neutral,EmoDSc_Silenciados\314.wav
Fear,EmoDSc_Silenciados\315.wav
Sadness,EmoDSc_Silenciados\316.wav
Neutral,EmoDSc_Silenciados\317.wav
Anger,EmoDSc_Silenciados\318.wav
Neutral,EmoDSc_Silenciados\319.wav
Sadness,EmoDSc_Silenciados\320.wav
Fear,EmoDSc_Silenciados\321.wav
Surprise,EmoDSc_Silenciados\322.wav
Sadness,EmoDSc_Silenciados\323.wav
Surprise,EmoDSc_Silenciados\324.wav
Disgust,EmoDSc_Silenciados\325.wav
Neutral,EmoDSc_Silenciados\326.wav
Sadness,EmoDSc_Silenciados\327.wav
Happiness,EmoDSc_Silenciados\328.wav
Disgust,EmoDSc_Silenciados\329.wav
Fear,EmoDSc_Silenciados\330.wav
Happiness,EmoDSc_Silenciados\331.wav
Neutral,EmoDSc_Silenciados\332.wav
Fear,EmoDSc_Silenciados\333.wav
Neutral,EmoDSc_Silenciados\334.wav
Anger,EmoDSc_Silenciados\335.wav
Happiness,EmoDSc_Silenciados\336.wav
Neutral,EmoDSc_Silenciados\337.wav
Happiness,EmoDSc_Silenciados\338.wav
Disgust,EmoDSc_Silenciados\339.wav
Neutral,EmoDSc_Silenciados\340.wav
Happiness,EmoDSc_Silenciados\341.wav
Happiness,EmoDSc_Silenciados\342.wav
Fear,EmoDSc_Silenciados\343.wav
Fear,EmoDSc_Silenciados\344.wav
Surprise,EmoDSc_Silenciados\345.wav
Happiness,EmoDSc_Silenciados\346.wav
Happiness,EmoDSc_Silenciados\347.wav
Neutral,EmoDSc_Silenciados\348.wav
Sadness,EmoDSc_Silenciados\349.wav
Happiness,EmoDSc_Silenciados\350.wav
Disgust,EmoDSc_Silenciados\351.wav
Surprise,EmoDSc_Silenciados\352.wav
Disgust,EmoDSc_Silenciados\353.wav
Fear,EmoDSc_Silenciados\354.wav
Surprise,EmoDSc_Silenciados\355.wav
Neutral,EmoDSc_Silenciados\356.wav
Sadness,EmoDSc_Silenciados\357.wav
Surprise,EmoDSc_Silenciados\358.wav
Neutral,EmoDSc_Silenciados\359.wav
Anger,EmoDSc_Silenciados\360.wav
Surprise,EmoDSc_Silenciados\361.wav
Surprise,EmoDSc_Silenciados\362.wav
Surprise,EmoDSc_Silenciados\363.wav
Surprise,EmoDSc_Silenciados\364.wav
Surprise,EmoDSc_Silenciados\365.wav
Sadness,EmoDSc_Silenciados\366.wav
Sadness,EmoDSc_Silenciados\367.wav
Disgust,EmoDSc_Silenciados\368.wav
Fear,EmoDSc_Silenciados\369.wav
Sadness,EmoDSc_Silenciados\370.wav
Sadness,EmoDSc_Silenciados\371.wav
Anger,EmoDSc_Silenciados\372.wav
Sadness,EmoDSc_Silenciados\373.wav
Neutral,EmoDSc_Silenciados\374.wav
Anger,EmoDSc_Silenciados\375.wav
Happiness,EmoDSc_Silenciados\376.wav
Anger,EmoDSc_Silenciados\377.wav
Sadness,EmoDSc_Silenciados\378.wav
Disgust,EmoDSc_Silenciados\379.wav
Anger,EmoDSc_Silenciados\380.wav
Anger,EmoDSc_Silenciados\381.wav
Fear,EmoDSc_Silenciados\382.wav
Anger,EmoDSc_Silenciados\383.wav
Anger,EmoDSc_Silenciados\384.wav
Anger,EmoDSc_Silenciados\385.wav
Fear,EmoDSc_Silenciados\386.wav
Neutral,EmoDSc_Silenciados\387.wav
Anger,EmoDSc_Silenciados\388.wav
Disgust,EmoDSc_Silenciados\389.wav
Disgust,EmoDSc_Silenciados\390.wav
Neutral,EmoDSc_Silenciados\391.wav
Sadness,EmoDSc_Silenciados\392.wav
Anger,EmoDSc_Silenciados\393.wav
Anger,EmoDSc_Silenciados\394.wav
Fear,EmoDSc_Silenciados\395.wav
Sadness,EmoDSc_Silenciados\396.wav
Disgust,EmoDSc_Silenciados\397.wav
Disgust,EmoDSc_Silenciados\398.wav
Neutral,EmoDSc_Silenciados\399.wav
Happiness,EmoDSc_Silenciados\400.wav
Fear,EmoDSc_Silenciados\401.wav
Surprise,EmoDSc_Silenciados\402.wav
Fear,EmoDSc_Silenciados\403.wav
Surprise,EmoDSc_Silenciados\404.wav
Fear,EmoDSc_Silenciados\405.wav
Disgust,EmoDSc_Silenciados\406.wav
Fear,EmoDSc_Silenciados\407.wav
Fear,EmoDSc_Silenciados\408.wav
Surprise,EmoDSc_Silenciados\409.wav
Anger,EmoDSc_Silenciados\410.wav
Disgust,EmoDSc_Silenciados\411.wav
Disgust,EmoDSc_Silenciados\412.wav
Sadness,EmoDSc_Silenciados\413.wav
Fear,EmoDSc_Silenciados\414.wav
Neutral,EmoDSc_Silenciados\415.wav
Disgust,EmoDSc_Silenciados\416.wav
Anger,EmoDSc_Silenciados\417.wav
Happiness,EmoDSc_Silenciados\418.wav
Disgust,EmoDSc_Silenciados\419.wav
Surprise,EmoDSc_Silenciados\420.wav
Sadness,EmoDSc_Silenciados\421.wav
Surprise,EmoDSc_Silenciados\422.wav
Fear,EmoDSc_Silenciados\423.wav
Anger,EmoDSc_Silenciados\424.wav
Neutral,EmoDSc_Silenciados\425.wav
Surprise,EmoDSc_Silenciados\426.wav
Sadness,EmoDSc_Silenciados\427.wav
Neutral,EmoDSc_Silenciados\428.wav
Disgust,EmoDSc_Silenciados\429.wav
Surprise,EmoDSc_Silenciados\430.wav
Neutral,EmoDSc_Silenciados\431.wav
Disgust,EmoDSc_Silenciados\432.wav
Happiness,EmoDSc_Silenciados\433.wav
Neutral,EmoDSc_Silenciados\434.wav
Anger,EmoDSc_Silenciados\435.wav
Fear,EmoDSc_Silenciados\436.wav
Anger,EmoDSc_Silenciados\437.wav
Surprise,EmoDSc_Silenciados\438.wav
Disgust,EmoDSc_Silenciados\439.wav
Fear,EmoDSc_Silenciados\440.wav
Surprise,EmoDSc_Silenciados\441.wav
Neutral,EmoDSc_Silenciados\442.wav
Neutral,EmoDSc_Silenciados\443.wav
Disgust,EmoDSc_Silenciados\444.wav
Sadness,EmoDSc_Silenciados\445.wav
Sadness,EmoDSc_Silenciados\446.wav
Fear,EmoDSc_Silenciados\447.wav
Anger,EmoDSc_Silenciados\448.wav
Sadness,EmoDSc_Silenciados\449.wav
Sadness,EmoDSc_Silenciados\450.wav
Sadness,EmoDSc_Silenciados\451.wav
Anger,EmoDSc_Silenciados\452.wav
Surprise,EmoDSc_Silenciados\453.wav
Neutral,EmoDSc_Silenciados\454.wav
Surprise,EmoDSc_Silenciados\455.wav
Surprise,EmoDSc_Silenciados\456.wav
Disgust,EmoDSc_Silenciados\457.wav
Happiness,EmoDSc_Silenciados\458.wav
Fear,EmoDSc_Silenciados\459.wav
Disgust,EmoDSc_Silenciados\460.wav
Happiness,EmoDSc_Silenciados\461.wav
Happiness,EmoDSc_Silenciados\462.wav
Fear,EmoDSc_Silenciados\463.wav
Anger,EmoDSc_Silenciados\464.wav
Surprise,EmoDSc_Silenciados\465.wav
Fear,EmoDSc_Silenciados\466.wav
Sadness,EmoDSc_Silenciados\467.wav
Fear,EmoDSc_Silenciados\468.wav
Surprise,EmoDSc_Silenciados\469.wav
Fear,EmoDSc_Silenciados\470.wav
