Emotions,Path
Happiness,EmoDSc_Aumentado\52734.wav
Happiness,EmoDSc_Aumentado\25791.wav
Happiness,EmoDSc_Aumentado\8942.wav
Surprise,EmoDSc_Aumentado\10054.wav
Sadness,EmoDSc_Aumentado\53020.wav
Sadness,EmoDSc_Aumentado\36445.wav
Disgust,EmoDSc_Aumentado\5566.wav
Fear,EmoDSc_Aumentado\36748.wav
Surprise,EmoDSc_Aumentado\41865.wav
Disgust,EmoDSc_Aumentado\5925.wav
Surprise,EmoDSc_Aumentado\36786.wav
Surprise,EmoDSc_Aumentado\11474.wav
Surprise,EmoDSc_Aumentado\10521.wav
Anger,EmoDSc_Aumentado\40010.wav
Neutral,EmoDSc_Aumentado\42435.wav
Surprise,EmoDSc_Aumentado\55011.wav
Disgust,EmoDSc_Aumentado\51942.wav
Fear,EmoDSc_Aumentado\186.wav
Fear,EmoDSc_Aumentado\57451.wav
Anger,EmoDSc_Aumentado\32757.wav
Sadness,EmoDSc_Aumentado\15211.wav
Neutral,EmoDSc_Aumentado\26089.wav
Sadness,EmoDSc_Aumentado\16415.wav
Happiness,EmoDSc_Aumentado\57491.wav
Neutral,EmoDSc_Aumentado\34945.wav
Anger,EmoDSc_Aumentado\45229.wav
Anger,EmoDSc_Aumentado\12271.wav
Anger,EmoDSc_Aumentado\8683.wav
Sadness,EmoDSc_Aumentado\32408.wav
Happiness,EmoDSc_Aumentado\55556.wav
Fear,EmoDSc_Aumentado\15699.wav
Fear,EmoDSc_Aumentado\31668.wav
Happiness,EmoDSc_Aumentado\35625.wav
Fear,EmoDSc_Aumentado\40210.wav
Anger,EmoDSc_Aumentado\28707.wav
Sadness,EmoDSc_Aumentado\51696.wav
Sadness,EmoDSc_Aumentado\52884.wav
Happiness,EmoDSc_Aumentado\7215.wav
Disgust,EmoDSc_Aumentado\32311.wav
Surprise,EmoDSc_Aumentado\50097.wav
Surprise,EmoDSc_Aumentado\38590.wav
Neutral,EmoDSc_Aumentado\22272.wav
Sadness,EmoDSc_Aumentado\1570.wav
Sadness,EmoDSc_Aumentado\31881.wav
Sadness,EmoDSc_Aumentado\12322.wav
Surprise,EmoDSc_Aumentado\9026.wav
Surprise,EmoDSc_Aumentado\2574.wav
Sadness,EmoDSc_Aumentado\33848.wav
Disgust,EmoDSc_Aumentado\7615.wav
Surprise,EmoDSc_Aumentado\31269.wav
Sadness,EmoDSc_Aumentado\25248.wav
Fear,EmoDSc_Aumentado\50826.wav
Sadness,EmoDSc_Aumentado\18343.wav
Fear,EmoDSc_Aumentado\39081.wav
Neutral,EmoDSc_Aumentado\43424.wav
Anger,EmoDSc_Aumentado\11948.wav
Fear,EmoDSc_Aumentado\7096.wav
Happiness,EmoDSc_Aumentado\3080.wav
Anger,EmoDSc_Aumentado\48647.wav
Neutral,EmoDSc_Aumentado\75.wav
Disgust,EmoDSc_Aumentado\28681.wav
